timestamp,open,high,low,close,volume
2020-12-31 4:05,133.81,133.81,133.56,133.6,1653
2020-12-31 4:10,133.57,133.57,133.57,133.57,361
2020-12-31 4:15,133.54,133.54,133.54,133.54,626
2020-12-31 4:20,133.4,133.45,133.39,133.39,2262
2020-12-31 4:25,133.42,133.42,133.42,133.42,133
2020-12-31 4:30,133.43,133.43,133.38,133.38,780
2020-12-31 4:35,133.38,133.4,133.38,133.4,733
2020-12-31 4:40,133.43,133.43,133.43,133.43,452
2020-12-31 5:05,133.61,133.61,133.61,133.61,241
2020-12-31 5:10,133.61,133.61,133.61,133.61,199
2020-12-31 5:20,133.68,133.72,133.68,133.72,1051
2020-12-31 5:25,133.7,133.7,133.68,133.68,824
2020-12-31 5:30,133.53,133.53,133.53,133.53,308
2020-12-31 5:35,133.53,133.53,133.53,133.53,312
2020-12-31 5:40,133.57,133.57,133.53,133.53,666
2020-12-31 5:45,133.56,133.56,133.56,133.56,435
2020-12-31 5:55,133.57,133.72,133.57,133.72,1154
2020-12-31 6:00,133.72,133.72,133.72,133.72,151
2020-12-31 6:15,133.71,133.71,133.71,133.71,105
2020-12-31 6:30,133.72,133.8,133.72,133.8,2186
2020-12-31 6:35,133.81,133.9,133.81,133.9,776
2020-12-31 6:40,133.89,133.89,133.88,133.88,582
2020-12-31 6:50,133.8,133.82,133.8,133.82,737
2020-12-31 6:55,133.89,133.92,133.89,133.92,1005
2020-12-31 7:00,133.91,133.99,133.91,133.97,1668
2020-12-31 7:05,133.82,134.32,133.82,134.12,51618
2020-12-31 7:10,134.07,134.28,134.07,134.28,18825
2020-12-31 7:15,134.25,134.49,134.24,134.45,49897
2020-12-31 7:20,134.42,134.46,134.41,134.43,7583
2020-12-31 7:25,134.44,134.65,134.44,134.63,43629
2020-12-31 7:30,134.64,134.65,134.34,134.38,34241
2020-12-31 7:35,134.401,134.401,134.25,134.35,20072
2020-12-31 7:40,134.33,134.33,134.25,134.3,11485
2020-12-31 7:45,134.3,134.4,134.3,134.33,9311
2020-12-31 7:50,134.35,134.58,134.35,134.57,13496
2020-12-31 7:55,134.58,134.58,134.4,134.4,31427
2020-12-31 8:00,134.39,134.4,134.31,134.38,15362
2020-12-31 8:05,134.2978,134.65,133.9,134.54,298091
2020-12-31 8:10,134.53,134.55,134.41,134.4398,27248
2020-12-31 8:15,134.41,134.5,134.39,134.4,21027
2020-12-31 8:20,134.4,134.44,134.36,134.4,18461
2020-12-31 8:25,134.38,134.4,134.26,134.38,32424
2020-12-31 8:30,134.35,134.39,134.33,134.35,11529
2020-12-31 8:35,134.32,134.45,134.31,134.43,33414
